,Category,Reasoning Type,gpt4o,claude3.5sonnet,llama3.1405B,gemini1.5pro,mistral2large
894,"PARTS OF A CAR, INFORMALLY",semantic relations,0,0,0,0,0
895,COLOR HOMOPHONES,word meaning + word form,0,0,0,0,0
896,STATES OF MATTER,semantic relations,1,1,1,1,1
897,ALL-TIMER,semantic relations,0,0,0,0,0
898,"PH"" WORDS THAT ALSO WORK WITH ""F",orthography,0,0,1,0,0
899,_ PITCH,multiword expressions,0,0,0,0,0
900,BIT OF MAGIC,semantic relations,0,1,1,1,1
901,FOUND AROUND A FIREPLACE,associative relations,0,0,0,0,0
902,THINGS SEEN AT A CASINO,associative relations,0,0,0,0,0
903,WAYS TO PREPARE CHEESE,semantic relations,0,0,0,0,0
904,CLEANING SUPPLIES,semantic relations,1,1,1,1,1
905,"ELEMENTS OF COOKING, PER SAMIN NOSRAT",encyclopedic,0,0,0,0,0
906,THINGS THAT MAKE YOU SNEEZE,associative relations,0,0,0,0,0
907,TITULAR FICTIONAL DETECTIVES,encyclopedic,1,1,0,0,0
908,THINGS THAT ARE ORANGE,associative relations,0,0,0,0,0
909,"LONG, SKINNY OBJECTS",semantic relations,0,0,0,0,0
910,SEEN ON A GOLF COURSE,associative relations,0,1,0,0,0
911,SHAPES OF CAPITAL GREEK LETTERS,encyclopedic,0,0,0,0,0
912,TECH COMPANIES,semantic relations,1,1,0,0,0
913,KINDS OF EXAMS,semantic relations,0,1,0,0,0
914,SOMETHING EXEMPLARY,semantic relations,0,0,0,0,0
915,_ TOOTH,multiword expressions,0,0,0,0,0
916,STRONG SMELL,semantic relations,0,0,0,1,0
917,MOVE BACK AND FORTH,semantic relations,0,0,1,0,0
918,THINGS TO PICK,associative relations,0,0,0,0,0
919,_ BALL,multiword expressions,0,0,0,0,0
920,PLAYFULLY BOTHER,semantic relations,1,0,0,0,0
921,APEX,semantic relations,1,1,0,1,0
922,WORDS FOR SPECIFIC QUANTITIES,semantic relations,1,0,0,0,0
923,"WHAT ""X"" MIGHT MEAN",associative relations,0,0,0,0,0
924,GIFT-GIVING ACCESSORIES,associative relations,0,0,0,0,0
925,DATING APP ACTIONS,semantic relations,0,0,0,0,0
926,"COOL, IN SLANG",semantic relations,0,0,0,0,0
927,LUCKY    _,multiword expressions,0,0,0,0,0
928,MOVE THROUGH THE AIR,semantic relations,1,1,0,1,1
929,HIDDEN LISTENING DEVICES,semantic relations,0,0,0,0,0
930,"SELECT, AS A BOX ON A FORM",semantic relations,0,0,0,0,0
931,RAPPERS MINUS FIRST LETTER,word meaning + word form,0,0,0,0,0
932,B.L.T. INGREDIENTS,semantic relations,1,1,1,0,0
933,OBSTRUCT,semantic relations,0,0,0,0,0
934,BASEBALL STATS,encyclopedic,0,0,0,0,0
935,SMALL    _,multiword expressions,0,0,0,0,0
936,GARDENING NOUNS/VERBS,semantic relations,0,0,0,0,0
937,KINDS OF SALADS,semantic relations,0,0,0,0,0
938,"CLASSIC GAME SHOWS, FAMILIARLY",encyclopedic,0,1,0,0,0
939,W + VOWEL SOUND,phonology,0,1,0,0,0
940,ORGANIZATION,semantic relations,1,0,0,0,0
941,"SHARPNESS, AS OF AN IMAGE",semantic relations,0,0,0,0,0
942,PLACES IN FRANCE,semantic relations,1,1,0,1,0
943,HAPPY NEW YEAR!,associative relations,0,0,0,0,0
944,BLACK-AND-WHITE ANIMALS,associative relations,1,1,0,0,0
945,SEQUENCE,semantic relations,0,0,0,0,0
946,HETERONYMS,semantic relations,0,0,0,0,0
947,_ TRAP,multiword expressions,0,0,0,0,0
948,SHIRTS,semantic relations,0,0,1,1,0
949,"COOL, IN '80S SLANG",semantic relations,0,0,0,0,0
950,LETTER SPELLINGS,orthography,0,0,0,0,0
951,_ GEORGE,multiword expressions,0,0,0,0,0
952,PARTS OF A CAR,semantic relations,1,1,0,1,0
953,MOVE QUICKLY,semantic relations,1,1,0,0,0
954,BIRDS,semantic relations,1,1,1,0,1
955,JAZZ LEGENDS,encyclopedic,0,1,0,0,0
956,INDICATION OF THINGS TO COME,semantic relations,0,0,1,0,1
957,NAME PREFIXES,semantic relations,0,0,0,0,0
958,ART MEDIUMS,semantic relations,1,1,1,1,1
959,_ PEPPER,multiword expressions,0,0,0,0,0
960,ROAD NAMES,semantic relations,1,1,0,1,1
961,PAPER IN A BOOK,semantic relations,1,1,1,1,1
962,RESTRAIN,semantic relations,0,0,0,0,0
963,THINGS YOU CAN DO TO YOUR NOSE,associative relations,0,0,0,0,0
964,DARLING,semantic relations,0,1,0,0,1
965,BASIC GEOMETRIC OBJECTS,encyclopedic,0,0,1,0,1
966,OOMPH,semantic relations,0,0,0,0,0
967,SECRET    _,multiword expressions,0,0,0,0,0
968,GENTLE,semantic relations,0,1,0,0,0
969,CUTS OF PORK,encyclopedic,0,0,1,1,0
970,STATUE OF LIBERTY FEATURES,encyclopedic,0,0,0,0,0
971,THINGS TO BLOW ON FOR WISHES/LUCK,associative relations,0,0,0,0,0
972,MEANS OF TRANSPORTATION,semantic relations,1,1,1,0,0
973,WILLING TO PARTICIPATE,semantic relations,0,0,0,0,0
974,"LITTLE BIT, IN A RECIPE",semantic relations,0,1,0,0,0
975,_BERRY,multiword expressions,0,0,0,0,0
976,CLASSIC HALLOWEEN COSTUMES,associative relations,0,1,0,1,0
977,BEE CREATIONS,semantic relations,1,0,1,0,0
978,INTERVAL OF TIME,semantic relations,0,1,0,1,0
979,ANIMAL HOMOPHONES,word meaning + word form,0,0,0,0,0
980,SEEN IN A LAUNDRY ROOM,semantic relations,1,1,1,1,0
981,SHEPHERD,semantic relations,1,0,0,0,1
982,"WHAT ""I"" MIGHT MEAN",associative relations,0,0,0,0,0
983,_ VALLEY,multiword expressions,0,0,0,0,0
984,CONTACT VIA PHONE,semantic relations,1,0,1,0,1
985,BOOK SECTIONS,semantic relations,1,1,1,0,1
986,WEE,semantic relations,1,1,1,0,0
987,CARTOON MICE,encyclopedic,0,0,0,0,0
988,ACCESSORIES,semantic relations,0,1,1,0,0
989,COMEDIAN'S OUTPUT,semantic relations,0,1,1,0,0
990,ATTRACTION,semantic relations,0,1,1,0,0
991,TWO LETTERS + NUMBER,word meaning + word form,0,0,0,0,0
992,BRIEF MOMENT,semantic relations,0,0,0,1,0
993,PRIMARY,semantic relations,0,0,0,0,0
994,AVENUES IN N.Y.C.,encyclopedic,0,1,0,0,0
995,_ HOUR,multiword expressions,0,0,0,0,0
996,RESERVE FOR LATER,semantic relations,0,1,0,0,0
997,"BOLDNESS, FIGURATIVELY",semantic relations,1,0,0,0,0
998,USED TO BUILD A SNOWMAN,associative relations,1,0,1,0,0
999,FUNNY    _,multiword expressions,0,0,0,0,0
1000,FARM TOOLS,semantic relations,1,1,1,1,1
1001,SCHEME,semantic relations,1,1,1,1,1
1002,MAKE HAPPY,semantic relations,1,1,0,1,1
1003,ONOMATOPOEIA,multiword expressions,0,1,1,1,1
1004,CURMUDGEON,semantic relations,0,1,0,0,0
1005,GET LOW,semantic relations,0,0,0,0,0
1006,NATIONAL SYMBOLS,semantic relations,0,1,0,1,0
1007,SWINDLER,semantic relations,0,0,0,0,0
1008,PESTER,semantic relations,1,1,0,0,0
1009,SPORTS VENUES,semantic relations,1,0,1,0,0
1010,SEPARATE,semantic relations,0,1,0,0,0
1011,SILVER    _,multiword expressions,0,1,0,0,0
1012,GOLF COURSE PARTS,semantic relations,0,0,1,1,0
1013,I GIVE!,semantic relations,0,0,0,0,0
1014,INDECENT,semantic relations,0,0,0,0,0
1015,"-OUGH"" WORDS THAT DON'T RHYME",multiword expressions,0,0,0,0,0
1016,MURKY CONDITION,semantic relations,1,1,0,1,1
1017,FOLLOW,semantic relations,0,1,0,0,0
1018,PINBALL MACHINE COMPONENTS,semantic relations,0,1,0,0,0
1019,_LAND COUNTRIES,multiword expressions,0,0,0,0,0
1020,LUXURIOUS FABRICS,semantic relations,1,1,1,1,1
1021,COME DOWN TO REST,semantic relations,0,0,1,0,0
1022,SHOE PARTS,semantic relations,0,0,1,1,0
1023,THINGS THAT ARE DELIVERED,associative relations,0,0,1,0,0
1024,PARTS OF A RIVER,semantic relations,1,0,0,0,0
1025,SOMETHING EASY TO DO,semantic relations,1,1,0,1,0
1026,WRAP AROUND IN A CIRCLE,semantic relations,0,0,0,0,0
1027,JUMP INTO THE AIR,semantic relations,1,0,0,0,0
1028,ICE CREAM TREATS,semantic relations,1,1,0,0,0
1029,HARDWARE FASTENERS,semantic relations,1,1,1,1,1
1030,KINDS OF COOKING OIL,semantic relations,0,0,0,0,0
1031,STICKY    _,multiword expressions,0,0,0,0,0
1032,DECLINE,semantic relations,0,0,1,0,0
1033,ABSOLUTE,semantic relations,1,0,1,0,0
1034,EXPRESS,semantic relations,0,0,1,0,0
1035,SUPERHERO LAST NAMES,encyclopedic,0,0,0,0,0
1036,STATE ABBREVIATIONS,encyclopedic,0,1,0,0,0
1037,CABLE CHANNELS,encyclopedic,0,0,0,0,0
1038,IN THE NATO ALPHABET,encyclopedic,1,0,1,1,1
1039,_- _,multiword expressions,0,0,0,0,0
1040,FOUND ON SHEET MUSIC,associative relations,1,1,1,1,0
1041,ZODIAC SYMBOLS,associative relations,0,1,0,0,1
1042,RECORD LABELS,encyclopedic,0,1,0,0,0
1043,ZODIAC SIGN BEGINNINGS,word meaning + word form,0,0,0,0,0
1044,ENORMOUS,semantic relations,1,1,1,0,1
1045,BOOKSTORE SECTIONS,associative relations,0,0,0,0,0
1046,TV SHOWS WITH HAPPY-SOUNDING NAMES,encyclopedic,0,0,0,1,1
1047,_ CRANE,multiword expressions,0,0,0,0,0
1048,UNIT OF BREAD,semantic relations,1,1,1,1,1
1049,"ASSURE, AS A WIN",semantic relations,1,1,0,0,1
1050,SMALL IMPERFECTION,semantic relations,1,0,0,1,1
1051,HEAD OF    _,multiword expressions,0,0,0,0,0
1052,MONTHLY BILLS,semantic relations,0,0,0,0,0
1053,RELATED TO SOUND/HEARING,semantic relations,1,1,1,1,0
1054,CONNECT,semantic relations,1,1,0,1,1
1055,"EXCITE, WITH ""UP",semantic relations,0,0,0,0,0
1056,CONTAINERS,semantic relations,0,0,1,1,1
1057,CIRCULAR SHAPES,semantic relations,0,1,0,1,0
1058,RESTRICT,semantic relations,0,0,0,0,0
1059,_ JAM,multiword expressions,0,0,0,0,0
1060,PLACES TO SHOP,semantic relations,1,1,1,0,0
1061,WAYS TO REMOVE HAIR,semantic relations,0,0,1,0,0
1062,PORTION OF PROFIT,semantic relations,0,0,0,0,0
1063,KINDS OF WRENCHES,encyclopedic,0,1,0,0,0
1064,AVOID,semantic relations,0,1,0,0,0
1065,HITCHCOCK MOVIES,encyclopedic,0,1,0,0,0
1066,SIDEKICKS,encyclopedic,0,0,0,0,0
1067,_ CHEESE,multiword expressions,0,0,0,0,0
1068,FOOT PARTS,semantic relations,0,0,1,0,0
1069,MUSICAL INSTRUMENTS,semantic relations,1,1,1,1,1
1070,DOG COMMANDS,associative relations,1,0,0,1,1
1071,BADDIE,semantic relations,0,0,0,0,0
1072,ROOMS IN A HOUSE,semantic relations,0,1,0,1,1
1073,LAND SURROUNDED BY WATER,semantic relations,0,0,0,0,0
1074,FILL TO EXCESS,semantic relations,0,1,0,0,0
1075,BEAN    _,multiword expressions,0,0,0,0,0
1076,CARRY A TUNE,semantic relations,1,1,1,0,1
1077,WHOLE AMOUNT,semantic relations,1,1,1,1,1
1078,MOJITO INGREDIENTS,semantic relations,1,0,0,0,1
1079,"THINGS THAT ARE ""STICKY",associative relations,1,1,1,1,1
1080,MUNICIPALITIES,semantic relations,1,1,0,0,0
1081,BLENDER BUTTONS,associative relations,0,0,0,1,0
1082,FINANCIAL TERMS,semantic relations,1,1,1,1,0
1083,_ LEAGUE,multiword expressions,0,1,0,1,0
1084,SECLUDED,semantic relations,1,0,0,1,0
1085,AGGREGATE SIZE,semantic relations,1,0,0,1,0
1086,BODIES OF WATER,semantic relations,1,1,1,1,0
1087,READS THE SAME ROTATED 180�,orthography,1,0,0,1,0
1088,CRITICIZE,semantic relations,0,0,0,0,0
1089,REALITY SHOWS,encyclopedic,0,0,0,0,0
1090,CAR BRANDS,encyclopedic,1,1,1,0,0
1091,_ PAD,multiword expressions,0,0,0,0,0
1092,FOODS WITH CRUSTS,associative relations,0,0,0,1,0
1093,"ENDING IN A SILENT ""T",orthography,0,0,0,0,0
1094,COUNTRIES WITH RED AND WHITE FLAGS,encyclopedic,0,0,0,1,0
1095,N.B.A. GREATS,encyclopedic,0,0,0,0,0
1096,AREAS BETWEEN MOUNTAINS AND HILLS,semantic relations,0,0,0,0,0
1097,EAT VORACIOUSLY,semantic relations,0,0,0,0,0
1098,"FEATURED IN ""SNOW WHITE",encyclopedic,0,1,0,1,0
1099,"C"" + BIRD",word meaning + word form,0,0,0,0,0
1100,TYPES OF TEETH,semantic relations,1,1,0,0,0
1101,FASHIONABLE,semantic relations,0,0,0,0,0
1102,DANCE MOVES,encyclopedic,0,0,0,0,0
1103,THINGS THAT SUCK,associative relations,0,0,0,0,0
1104,RELIGIOUS FIGURES,semantic relations,1,1,1,1,1
1105,PRIMATES,semantic relations,1,0,1,0,0
1106,CHUTNEY VARIETIES,semantic relations,0,0,0,0,0
1107,IMITATE,semantic relations,0,0,0,0,0
1108,ONSET,semantic relations,1,1,0,0,0
1109,VENERABLE,semantic relations,1,0,0,0,1
1110,WALK,semantic relations,1,1,0,1,1
1111,_ DAY HOLIDAYS,multiword expressions,0,0,0,0,0
1112,QUICK PEEK,semantic relations,0,0,0,1,0
1113,DECEIT,semantic relations,0,1,0,0,0
1114,PARTS OF A MOUNTAIN,semantic relations,1,1,0,0,0
1115,HOMOPHONES,phonology,0,1,0,0,0
1116,BODYWEIGHT EXERCISES,semantic relations,1,1,1,1,1
1117,EMAIL SIGN-OFFS,semantic relations,1,1,0,0,1
1118,"M.L.B. TEAMS, FOR SHORT",encyclopedic,1,1,1,0,1
1119,ELIZABETHS (AND ONE ELISABETH),encyclopedic,0,1,0,0,0
1120,BALDERDASH,semantic relations,0,0,0,0,0
1121,HELM,semantic relations,0,1,1,0,0
1122,SINGLE/PLURAL ANIMALS,word meaning + word form,0,0,0,0,0
1123,GREAT    _,multiword expressions,0,0,0,0,0
1124,GROSS!,semantic relations,1,1,1,0,1
1125,MAGAZINES,encyclopedic,0,0,0,0,0
1126,"YES"" IN DIFFERENT LANGUAGES",encyclopedic,0,0,0,0,0
1127,HOMOPHONES,phonology,0,0,0,0,0
1128,BASIC EMOTIONS,semantic relations,1,1,1,0,0
1129,BIT OF VOCAL FANFARE,semantic relations,0,1,0,0,0
1130,OBTAIN,semantic relations,0,1,0,0,0
1131,_ ANT,multiword expressions,0,0,0,0,0
1132,UNIT OF LANGUAGE,semantic relations,1,1,0,0,0
1133,TRADEMARK,semantic relations,1,1,0,1,0
1134,FUNNY PERSON,semantic relations,0,0,0,1,0
1135,THINGS WITH LEAVES,associative relations,0,0,0,0,0
1136,PRESIDENTS,encyclopedic,1,0,1,0,0
1137,SPORTS PROFESSIONALS,semantic relations,0,0,0,0,0
1138,CAR COMPANIES,encyclopedic,0,0,0,0,0
1139,COMMON PREFIXES,semantic relations,0,0,0,0,0
1140,SPARSE/LACKING,semantic relations,1,0,0,0,0
1141,FUN TIME,semantic relations,0,0,0,0,0
1142,FILMMAKING EQUIPMENT,semantic relations,0,0,1,0,1
1143,GET A    _!,multiword expressions,0,0,0,0,0
1144,SPICES,semantic relations,1,1,1,0,0
1145,INTELLIGENT,semantic relations,1,1,1,1,1
1146,DEODORANTS,encyclopedic,1,1,0,0,0
1147,MEDIEVAL WEAPONS,semantic relations,1,1,0,0,0
1148,DOCTORS' ORDERS,associative relations,0,1,0,0,0
1149,EMAIL ACTIONS,semantic relations,1,0,1,0,1
1150,PODCASTS,encyclopedic,1,0,0,0,0
1151,_ COMEDY,multiword expressions,0,0,0,0,0
1152,BROUGHT TO THE BEACH,associative relations,1,1,0,1,0
1153,TYPES OF FRENCH FRIES,semantic relations,0,0,0,0,0
1154,EQUIVOCATE,semantic relations,0,0,0,0,0
1155,SECOND WORDS OF VODKA COCKTAILS,encyclopedic,0,0,0,0,0
1156,DIGITAL NOTIFICATION SOUNDS,word meaning + word form,1,0,0,0,0
1157,TATTLE,semantic relations,1,0,0,0,0
1158,GROUP WITHIN A GROUP,semantic relations,1,0,1,1,1
1159,MICROSOFT PRODUCTS,encyclopedic,1,0,0,0,0
1160,INVESTMENTS,semantic relations,0,0,0,0,0
1161,TERMS FOR RECORDS,semantic relations,0,0,0,0,1
1162,CUBE-SHAPED,associative relations,0,0,0,0,0
1163,"WORDS THAT GO WITH ""BONE",associative relations,0,0,0,0,0
1164,UNCHANGING,semantic relations,1,0,1,0,1
1165,"LONG, SHARP OBJECTS",semantic relations,1,0,0,0,0
1166,MUSIC PUBLICATIONS,encyclopedic,0,0,1,0,0
1167,WORDS WITH NUMERICAL PREFIXES,word meaning + word form,0,0,1,0,0
1168,WAYS TO PREPARE,semantic relations,0,0,0,0,0
1169,HOLLOW CYLINDERS,semantic relations,0,1,0,0,0
1170,CLUE WEAPONS,encyclopedic,0,0,0,0,0
1171,"E-"" THINGS",word meaning + word form,0,0,0,0,0
1172,NEVERTHELESS,semantic relations,1,1,0,0,0
1173,REPEATED WORDS IN EXPRESSIONS,multiword expressions,0,0,0,0,0
1174,WORDS ABBREVIATED WITH LETTERS,phonology,0,0,0,0,0
1175,ROYAL    _,multiword expressions,0,0,0,0,0
1176,IGNITE,semantic relations,1,0,0,0,0
1177,INFORMATION,semantic relations,0,1,0,1,0
1178,SMALL WOODED AREA,semantic relations,0,0,0,0,0
1179,THINGS WITH CORES,associative relations,0,0,0,0,0
1180,SOCIAL MEDIA ACTIONS,semantic relations,0,1,1,1,1
1181,USE A NEEDLE AND THREAD,semantic relations,1,1,1,1,1
1182,SHOWS SET IN HOSPITALS,encyclopedic,1,1,1,0,0
1183,EXPRESSIONS OF HESITATION,semantic relations,0,0,0,1,0
1184,FLOWERS,semantic relations,0,0,1,0,1
1185,SEEN ON A FARM,associative relations,0,1,1,0,1
1186,HORROR DIRECTORS,encyclopedic,0,0,0,0,0
1187,_ JACKET,multiword expressions,0,0,0,0,0
1188,BIRD FEATURES,semantic relations,1,1,1,1,1
1189,BLINK OF AN EYE,semantic relations,0,0,0,0,0
1190,MAHJONG TILES,encyclopedic,0,0,0,0,0
1191,_ BUTTON,multiword expressions,0,0,0,0,0
1192,MISHMASH,semantic relations,1,1,1,0,0
1193,GO UP AGAINST,semantic relations,1,1,0,0,1
1194,GROUP OF OFFSPRING,semantic relations,1,0,0,0,0
1195,GUITAR PARTS,semantic relations,1,1,0,0,0
1196,SENSES,semantic relations,0,1,1,1,1
1197,APPEARANCE,semantic relations,0,0,0,0,0
1198,AGREE!,semantic relations,1,0,0,1,0
1199,_ MOON,multiword expressions,0,0,0,0,0
1200,SHAMELESS BOLDNESS,semantic relations,0,0,0,0,0
1201,METAL ELEMENTS,semantic relations,0,0,0,1,1
1202,W.N.B.A. TEAMS,encyclopedic,0,0,0,0,0
1203,THINGS WITH TRUNKS,associative relations,0,0,0,0,0
1204,INCREASE,semantic relations,0,1,1,1,1
1205,"EXCELLENT, IN OLD SLANG",semantic relations,0,1,1,1,0
1206,FINE BUBBLES,semantic relations,0,0,0,1,0
1207,SPHERICAL THINGS,associative relations,0,0,0,1,0
1208,GRAMMAR TENSE TERMS,semantic relations,1,0,0,1,0
1209,GRACIOUS ME!,semantic relations,1,0,1,0,0
1210,12 DAYS OF CHRISTMAS,encyclopedic,0,0,0,0,0
1211,_ SYRUP,multiword expressions,0,0,0,0,0
1212,ANIMAL GROUPS,semantic relations,1,0,0,1,0
1213,SMALL OPENING,semantic relations,1,0,0,1,0
1214,PARADIGMATIC,semantic relations,0,0,0,0,0
1215,RHYMING COMPOUND WORDS,phonology,0,0,0,0,0
1216,CELL PHONE MODES,semantic relations,0,0,0,0,0
1217,IMPEL,semantic relations,0,0,0,1,0
1218,ROMANTIC BEGINNINGS,semantic relations,0,0,0,0,0
1219,HARD    _,multiword expressions,0,0,0,0,0
1220,RELAX,semantic relations,0,0,0,0,0
1221,CATCHY SONG,semantic relations,0,1,0,0,0
1222,BRITISH CUISINE,encyclopedic,0,0,0,0,0
1223,STICKY SITUATION,semantic relations,0,0,0,0,0
1224,TABLEWARE,semantic relations,0,0,1,0,0
1225,NONSENSE,semantic relations,0,1,0,0,0
1226,BRA PARTS,semantic relations,0,0,0,0,0
1227,ACRONYMS,semantic relations,1,1,0,0,0
1228,ANIMAL HOMES,semantic relations,0,1,0,0,0
1229,VIRTUAL SPACES,encyclopedic,1,1,0,0,0
1230,EQUITABLE,semantic relations,0,1,1,1,0
1231,_ BURGER,multiword expressions,0,0,0,0,0
1232,FALSIFY,semantic relations,0,0,0,0,0
1233,MILD OATHS,semantic relations,0,1,0,0,0
1234,TV SHOWS,encyclopedic,0,0,0,0,0
1235,FAST    _,multiword expressions,0,0,0,0,0
1236,SOMETHING TIRESOME,semantic relations,0,0,0,0,0
1237,BIT OF WIND,semantic relations,1,1,1,0,1
1238,PIQUANCY,semantic relations,0,0,0,0,0
1239,SINGULAR OF THINGS SEEN IN PAIRS,associative relations,0,0,0,0,0
1240,TAUNTS,semantic relations,1,1,0,0,0
1241,FAILURE,semantic relations,1,1,0,0,0
1242,RUDELY BREAK OFF CONTACT,semantic relations,1,1,0,0,0
1243,ROCK    _,multiword expressions,0,1,0,0,0
1244,DAYS OF THE WEEK,semantic relations,0,0,0,0,0
1245,GO BAD,semantic relations,0,0,0,1,0
1246,"THE ADDAMS FAMILY"" CHARACTERS",encyclopedic,0,0,0,0,0
1247,FAT    _,multiword expressions,0,0,0,0,0
1248,TOOLS,semantic relations,0,0,0,0,0
1249,PULL,semantic relations,0,0,0,1,1
1250,SHORTCUT COMMANDS,encyclopedic,1,1,0,0,0
1251,TITLE MOVIE ANIMALS,encyclopedic,0,0,0,0,0
1252,BUTT,semantic relations,1,1,0,0,0
1253,ROTARY PHONE PARTS,semantic relations,0,1,1,0,1
1254,SLANG FOR HOME,semantic relations,0,1,0,0,1
1255,PLUNDER,semantic relations,1,1,1,1,1
1256,BEANS,semantic relations,0,1,1,1,1
1257,"CITIES BEGINNING WITH ""L",word meaning + word form,0,1,1,0,0
1258,POETRY TERMS,semantic relations,0,1,1,0,0
1259,"THE(E)    _"" RAPPERS",multiword expressions,0,1,0,0,0
1260,CONCEAL,semantic relations,0,0,0,0,0
1261,PARTS OF A WATCH,semantic relations,0,0,0,0,0
1262,WONDER WOMAN'S COSTUME,encyclopedic,0,0,0,0,0
1263,THINGS THAT CAN RUN,associative relations,0,0,0,0,0
1264,FILM SET DIRECTIVES,semantic relations,1,0,1,1,0
1265,CONDITIONAL WORDS,semantic relations,1,1,1,0,1
1266,FOREMOST,semantic relations,0,0,0,0,0
1267,_ PAPER,multiword expressions,0,0,0,0,0
1268,ORIGIN,semantic relations,0,0,0,0,0
1269,BIBLE BOOKS,semantic relations,0,0,0,0,0
1270,N.H.L. TEAMS,encyclopedic,0,1,0,0,0
1271,POWER    _,multiword expressions,0,0,0,0,0
1272,CROPS,semantic relations,0,1,0,0,0
1273,SLANG FOR HEAD,semantic relations,0,0,0,0,0
1274,SONG,semantic relations,0,0,0,0,0
1275,THINGS THAT WHISTLE,associative relations,0,1,0,0,0
1276,CELEBRATORY OCCASIONS,semantic relations,0,0,0,1,0
1277,PHONE CONNECTIVITY,semantic relations,0,0,0,0,0
1278,CITIES AND TOWNS IN ENGLAND,encyclopedic,0,0,0,0,0
1279,_ OPERA,multiword expressions,0,0,0,0,0
1280,RHYMES,phonology,0,0,0,0,0
1281,NATURAL FEATURES,semantic relations,1,0,0,0,0
1282,PAST TENSE VERBS,semantic relations,0,0,0,0,0
1283,PALINDROMES,semantic relations,0,0,0,0,0
1284,"LAUGHTER, IN A TEXT",semantic relations,0,1,0,0,0
1285,ART MOVEMENTS,encyclopedic,1,1,1,1,1
1286,"PETER PAN"" CHARACTERS",encyclopedic,1,0,0,0,0
1287,LADY    _,multiword expressions,0,0,0,0,0
1288,DIVISION,semantic relations,0,0,0,0,0
1289,IMPERIAL UNITS,encyclopedic,1,1,0,0,0
1290,M.L.B. TEAM MEMBER,encyclopedic,0,0,0,0,0
1291,INSECT HOMOPHONES,word meaning + word form,0,0,0,0,0
1292,CHRISTMAS-RELATED,associative relations,0,1,0,0,0
1293,MAKE PUBLIC,semantic relations,1,1,1,0,0
1294,TORUS-SHAPED FOOD,semantic relations,1,1,1,0,1
1295,THINGS WITH STRIPES,associative relations,0,1,0,0,0
1296,LONG-HAIRED ANIMALS,semantic relations,0,0,0,0,1
1297,PRATTLE ON,semantic relations,1,1,0,0,0
1298,SNEAKER BRANDS,encyclopedic,0,1,1,0,1
1299,_ BALLOON,multiword expressions,0,0,0,0,0
1300,WAYS TO SHOW RESPECT,semantic relations,1,0,0,0,0
1301,IPHONE APPS,encyclopedic,0,0,0,0,0
1302,ANIMAL COVERINGS,semantic relations,0,0,0,0,0
1303,POINTERS,semantic relations,0,0,0,1,0
1304,COFFEE COUNTER ITEMS,associative relations,0,0,0,0,0
1305,NOCTURNAL ANIMALS,semantic relations,0,1,1,0,0
1306,THINGS THAT ARE RED,associative relations,0,1,0,1,0
1307,_ FIGURE,multiword expressions,0,1,0,0,0
1308,PLAYING CARD SUITS,encyclopedic,1,1,1,1,0
1309,GOLF CLUBS,encyclopedic,1,0,0,1,0
1310,YEARN,semantic relations,0,0,0,0,0
1311,INSUFFICIENT,semantic relations,0,0,0,1,0
1312,VERY IMPORTANT,semantic relations,1,1,0,1,1
1313,RECYCLNG CATEGORIES,semantic relations,0,0,0,0,0
1314,HUDSONS,encyclopedic,0,0,0,0,0
1315,"WHAT ""BEAT"" MAY MEAN",associative relations,0,1,0,0,0
1316,REFLECT LIGHT,semantic relations,1,1,1,1,1
1317,WAYS TO GATHER FOOD,semantic relations,1,1,0,1,1
1318,RAP SUBGENRES,encyclopedic,0,0,1,0,0
1319,LIGHT    _,multiword expressions,0,0,0,0,0
1320,PRODUCED BY TREES,associative relations,0,1,1,0,0
1321,CANDY STORE TREATS,semantic relations,1,1,1,0,0
1322,TARGET OF A SCHEME,semantic relations,0,1,1,1,1
1323,THINGS WITH EYE(S),associative relations,0,0,0,0,0
1324,SNAKES,semantic relations,1,1,1,1,1
1325,LINGERIE,semantic relations,0,1,1,0,0
1326,SUMMARY,semantic relations,1,1,1,0,0
1327,FULL    _,multiword expressions,0,1,0,0,0
1328,BRIDAL ACCESSORIES,associative relations,1,0,0,0,0
1329,"C"" WORDS FOR ""ENVELOP",word meaning + word form,0,0,0,0,0
1330,JACKS,encyclopedic,0,0,0,0,0
1331,SOCIAL MEDIA APP ENDINGS,word meaning + word form,0,0,0,0,0
1332,KITCHEN UTENSILS,semantic relations,0,0,0,1,0
1333,VERTEBRATES,semantic relations,0,0,0,0,0
1334,SUPER MARIO-RELATED,encyclopedic,0,0,0,0,0
1335,SITCOM FAMILIES,encyclopedic,0,0,0,0,0
1336,ROBUST,semantic relations,0,1,0,0,1
1337,DECLINE,semantic relations,0,0,0,0,0
1338,WATER SOURCES,semantic relations,1,0,0,0,0
1339,WOMEN SINGERS,encyclopedic,0,0,0,0,0
1340,SODA FOUNTAIN ORDERS,associative relations,0,1,0,0,0
1341,"SET, AS PLANS",semantic relations,0,0,0,1,0
1342,M. NIGHT SHYAMALAN MOVIES,encyclopedic,0,0,0,0,0
1343,_BOARD,multiword expressions,0,0,0,0,0
1344,RESTAURANT WORKERS,semantic relations,1,1,1,1,0
1345,MOTOR VEHICLES,semantic relations,1,0,0,1,0
1346,MUPPETS,encyclopedic,0,0,0,0,0
1347,HAND- AND FOOT-RELATED SLANG,semantic relations,0,0,0,0,0
