" ",Connections Categories,Words in Category,Gemini,Claude,GPT4o,Llama3-70B,Type of Reasoning
443,GREAT ___,"['DANE', 'LAKE', 'SEAL', 'WHITE']",0,0,0,0,Multiword Expressions
444,“GROSS!”,"['EW', 'ICK', 'PU', 'UGH']",0,1,0,0,Semantic Knowledge
445,MAGAZINES,"['O', 'OK', 'US', 'W']",0,0,0,0,Encyclopedic Knowledge
446,“YES” IN DIFFERENT LANGUAGES,"['HAI', 'JA', 'SI', 'DA']",0,0,0,0,Combined Category
447,HOMOPHONES,"['OUI', 'WE', 'WEE', 'WII']",0,0,0,0,Linguistic Knowledge
448,BASIC EMOTIONS,"['ANGER', 'FEAR', 'HAPPINESS', 'SURPRISE']",0,0,1,1,Semantic Knowledge
449,BIT OF VOCAL FANFARE,"['BEHOLD', 'PRESTO', 'TADA', 'VOILA']",0,0,1,1,Semantic Knowledge
450,OBTAIN,"['GET', 'LAND', 'SECURE', 'WIN']",0,0,0,0,Semantic Knowledge
451,___ ANT,"['ADAM', 'CARPENTER', 'FIRE', 'RED']",0,0,0,0,Semantic Knowledge
452,UNIT OF LANGUAGE,"['LETTER', 'PARAGRAPH', 'SENTENCE', 'WORD']",0,0,0,0,Associative Knowledge
453,TRADEMARK,"['FEATURE', 'HALLMARK', 'STAMP', 'TRAIT']",0,0,0,0,Semantic Knowledge
454,FUNNY PERSON,"['CARD', 'CLOWN', 'CUTUP', 'JOKER']",0,0,0,0,Semantic Knowledge
455,THINGS WITH LEAVES,"['BOOK', 'TABLE', 'TEA', 'TREE']",0,0,0,0,Associative Knowledge
456,PRESIDENTS,"['FORD', 'GRANT', 'LINCOLN', 'WILSON']",0,0,1,0,Encyclopedic Knowledge
457,SPORTS PROFESSIONALS,"['COACH', 'GM', 'PLAYER', 'SCOUT']",0,0,0,0,Associative Knowledge
458,CAR COMPANIES,"['BMW', 'HONDA', 'JAGUAR', 'SUBARU']",0,0,0,0,Encyclopedic Knowledge
459,COMMON PREFIXES,"['AUTO', 'POST', 'SEMI', 'SUB']",0,0,0,0,Linguistic Knowledge
460,SPARSE/LACKING,"['LIGHT', 'SHORT', 'SPARE', 'THIN']",0,0,0,0,Semantic Knowledge
461,FUN TIME,"['BALL', 'BLAST', 'KICK', 'RIOT']",0,0,0,0,Associative Knowledge
462,FILMMAKING EQUIPMENT,"['BOOM', 'DOLLY', 'LENS', 'TRIPOD']",0,1,0,0,Semantic Knowledge
463,“GET A ___!”,"['CLUE', 'GRIP', 'LIFE', 'ROOM']",0,0,0,0,Multiword Expressions
464,SPICES,"['ANISE', 'DILL', 'NUTMEG', 'SAGE']",0,1,1,0,Semantic Knowledge
465,INTELLIGENT,"['BRIGHT', 'QUICK', 'SHARP', 'SMART']",0,1,1,0,Semantic Knowledge
466,DEODORANTS,"['AXE', 'DEGREE', 'OLD SPICE', 'SECRET']",0,0,0,0,Encyclopedic Knowledge
467,MEDIEVAL WEAPONS,"['CLUB', 'MACE', 'SPEAR', 'SWORD']",0,0,0,0,Semantic Knowledge
468,DOCTORS’ ORDERS,"['DIET', 'EXERCISE', 'FRESH AIR', 'SLEEP']",0,1,0,0,Associative Knowledge
469,EMAIL ACTIONS,"['COMPOSE', 'FORWARD', 'REPLY ALL', 'SEND']",1,1,0,0,Semantic Knowledge
470,PODCASTS,"['RADIOLAB', 'SERIAL', 'UP FIRST', 'WTF']",0,0,0,0,Encyclopedic Knowledge
471,___ COMEDY,"['BLACK', 'DIVINE', 'PROP', 'SKETCH']",0,0,0,0,Multiword Expressions
472,BROUGHT TO THE BEACH,"['FLIP-FLOP', 'SUNSCREEN', 'TOWEL', 'UMBRELLA']",0,0,0,0,Associative Knowledge
473,TYPES OF FRENCH FRIES,"['CURLY', 'SHOESTRING', 'WAFFLE', 'WEDGE']",0,0,0,0,Semantic Knowledge
474,EQUIVOCATE,"['HEDGE', 'SEE-SAW', 'WAVER', 'YO-YO']",0,0,0,0,Semantic Knowledge
475,SECOND WORDS OF VODKA COCKTAILS,"['BREEZE', 'MARY', 'MULE', 'RUSSIAN']",0,0,0,0,Encyclopedic Knowledge
476,DIGITAL NOTIFICATION SOUNDS,"['CHIME', 'DING', 'PING', 'RING']",1,0,0,0,Associative Knowledge
477,TATTLE,"['RAT', 'SING', 'SNITCH', 'SQUEAL']",0,1,0,0,Semantic Knowledge
478,GROUP WITHIN A GROUP,"['CAMP', 'DIVISION', 'FACTION', 'WING']",0,0,0,1,Semantic Knowledge
479,MICROSOFT PRODUCTS,"['BING', 'EDGE', 'SURFACE', 'WORD']",0,0,0,0,Encyclopedic Knowledge
480,INVESTMENTS,"['BOND', 'CD', 'OPTION', 'STOCK']",0,0,0,0,Semantic Knowledge
481,TERMS FOR RECORDS,"['LP', 'PLATTER', 'VINYL', 'WAX']",0,0,0,0,Semantic Knowledge
482,CUBE-SHAPED,"['BOUILLON', 'DIE', 'ICE', 'SUGAR']",0,0,0,0,Semantic Knowledge
483,WORDS THAT GO WITH “BONE”,"['FUNNY', 'HERRING', 'SOUP', 'WISH']",0,0,0,0,Associative Knowledge
484,UNCHANGING,"['EVEN', 'LEVEL', 'STABLE', 'STEADY']",0,1,1,0,Semantic Knowledge
485,"LONG, SHARP OBJECTS","['LANCE', 'PIN', 'SKEWER', 'SPIT']",0,0,0,0,Semantic Knowledge
486,MUSIC PUBLICATIONS,"['BILLBOARD', 'PITCHFORK', 'ROLLING STONE', 'SPIN']",0,0,0,0,Encyclopedic Knowledge
487,WORDS WITH NUMERICAL PREFIXES,"['UNIFORM', 'BICYCLE', 'TRILOGY', 'QUADRANT']",0,0,0,0,Linguistic Knowledge
488,WAYS TO PREPARE,"['DRILL', 'PRACTICE', 'STUDY', 'TRAIN']",0,0,0,0,Associative Knowledge
489,HOLLOW CYLINDERS,"['HOSE', 'PIPE', 'STRAW', 'TUBE']",0,0,0,0,Associative Knowledge
490,CLUE WEAPONS,"['CANDLESTICK', 'KNIFE', 'ROPE', 'WRENCH']",0,0,0,0,Encyclopedic Knowledge
491,“E-” THINGS,"['CIGARETTE', 'BIKE', 'TICKET', 'SPORTS']",0,0,0,0,Associative Knowledge
492,NEVERTHELESS,"['HOWEVER', 'STILL', 'THOUGH', 'YET']",0,0,0,0,Semantic Knowledge
493,REPEATED WORDS IN EXPRESSIONS,"['HEAR', 'KNOCK', 'THERE', 'TUT']",0,0,0,0,Associative Knowledge
494,WORDS ABBREVIATED WITH LETTERS,"['ARE', 'SEE', 'WHY', 'YOU']",0,0,0,0,Linguistic Knowledge
495,ROYAL ___,"['FAMILY', 'FLUSH', 'JELLY', 'WE']",0,0,0,0,Multiword Expressions
496,IGNITE,"['BURN', 'KINDLE', 'LIGHT', 'TORCH']",0,0,0,1,Semantic Knowledge
497,INFORMATION,"['DATA', 'INFO', 'INTEL', 'NEWS']",0,0,0,0,Semantic Knowledge
498,SMALL WOODED AREA,"['DELL', 'GLEN', 'HOLLOW', 'VALLEY']",0,0,0,0,Associative Knowledge
499,THINGS WITH CORES,"['APPLE', 'COMPUTER', 'PLANET', 'REACTOR']",0,0,0,0,Encyclopedic Knowledge
500,SOCIAL MEDIA ACTIONS,"['FOLLOW', 'LIKE', 'SHARE', 'SUBSCRIBE']",0,0,1,0,Associative Knowledge
501,USE A NEEDLE AND THREAD,"['DARN', 'HEM', 'SEAM', 'SEW']",1,1,1,0,Semantic Knowledge
502,SHOWS SET IN HOSPITALS,"['ER', 'HOUSE', 'RATCHED', 'SCRUBS']",0,0,1,0,Encyclopedic Knowledge
503,EXPRESSIONS OF HESITATION,"['ERM', 'UH', 'UM', 'WELL']",0,0,1,1,Associative Knowledge
504,FLOWERS,"['DAISY', 'ROSE', 'TULIP', 'VIOLET']",1,0,0,1,Semantic Knowledge
505,SEEN ON A FARM,"['BARN', 'CHICKEN', 'FARMER', 'TRACTOR']",0,0,1,0,Associative Knowledge
506,HORROR DIRECTORS,"['ASTER', 'CARPENTER', 'CRAVEN', 'WAN']",0,0,0,0,Encyclopedic Knowledge
507,___ JACKET,"['DUST', 'LIFE', 'SPORTS', 'YELLOW']",0,0,0,0,Multiword Expressions
508,BIRD FEATURES,"['BEAK', 'FEATHER', 'TALON', 'WING']",0,1,1,0,Semantic Knowledge
509,BLINK OF AN EYE,"['FLASH', 'HEARTBEAT', 'SECOND', 'WINK']",0,1,0,0,Semantic Knowledge
510,MAHJONG TILES,"['BAMBOO', 'DRAGON', 'SEASON', 'WIND']",0,0,0,0,Encyclopedic Knowledge
511,___ BUTTON,"['BELLY', 'HOT', 'PANIC', 'SNOOZE']",0,0,0,0,Multiword Expressions
512,MISHMASH,"['HASH', 'JUMBLE', 'MEDLEY', 'STEW']",0,1,0,1,Semantic Knowledge
513,GO UP AGAINST,"['CHALLENGE', 'CONFRONT', 'FACE', 'OPPOSE']",0,1,0,0,Semantic Knowledge
514,GROUP OF OFFSPRING,"['BROOD', 'CLUTCH', 'HATCH', 'LITTER']",0,1,1,0,Semantic Knowledge
515,GUITAR PARTS,"['BODY', 'BRIDGE', 'FRET', 'NECK']",0,1,0,0,Semantic Knowledge
516,SENSES,"['SIGHT', 'SMELL', 'TASTE', 'TOUCH']",0,1,0,1,Semantic Knowledge
517,APPEARANCE,"['DRESS', 'LOOK', 'MANNER', 'STYLE']",0,0,0,0,Semantic Knowledge
518,“AGREE!”,"['DITTO', 'LIKEWISE', 'SAME', 'SECOND']",1,1,1,0,Semantic Knowledge
519,___ MOON,"['BLUE', 'HARVEST', 'NEW', 'SAILOR']",0,0,0,0,Multiword Expressions
520,SHAMELESS BOLDNESS,"['BRASS', 'CHEEK', 'GALL', 'NERVE']",0,0,0,0,Associative Knowledge
521,METAL ELEMENTS,"['COPPER', 'GOLD', 'NICKEL', 'SILVER']",1,0,0,0,Semantic Knowledge
522,W.N.B.A. TEAMS,"['MERCURY', 'SKY', 'SPARKS', 'LIBERTY']",0,0,0,0,Encyclopedic Knowledge
523,THINGS WITH TRUNKS,"['CARS', 'ELEPHANTS', 'SWIMMERS', 'TREES']",0,0,0,0,Associative Knowledge
524,INCREASE,"['BUILD', 'GROW', 'SWELL', 'MOUNT']",1,1,1,0,Semantic Knowledge
525,"EXCELLENT, IN OLD SLANG","['ACES', 'KEEN', 'NEATO', 'NIFTY']",1,1,0,0,Encyclopedic Knowledge
526,FINE BUBBLES,"['FOAM', 'FROTH', 'HEAD', 'LATHER']",0,1,0,0,Semantic Knowledge
527,SPHERICAL THINGS,"['BUBBLE', 'GLOBE', 'MARBLE', 'PEARL']",0,1,0,1,Semantic Knowledge
528,GRAMMAR TENSE TERMS,"['FUTURE', 'PAST', 'PERFECT', 'PRESENT']",0,0,0,1,Linguistic Knowledge
529,“GRACIOUS ME!”,"['GOODNESS', 'HEAVENS', 'LORD', 'MERCY']",1,1,0,1,Semantic Knowledge
530,12 DAYS OF CHRISTMAS,"['DRUMMER', 'LADY', 'RING', 'SWAN']",0,0,0,0,Encyclopedic Knowledge
531,___ SYRUP,"['CORN', 'COUGH', 'MAPLE', 'SIMPLE']",0,0,0,0,Multiword Expressions
532,ANIMAL GROUPS,"['COLONY', 'HERD', 'PRIDE', 'SCHOOL']",0,1,1,0,Associative Knowledge
533,SMALL OPENING,"['CRANNY', 'NICHE', 'NOOK', 'RECESS']",0,1,0,0,Semantic Knowledge
534,PARADIGMATIC,"['CLASSIC', 'DEFINITIVE', 'MODEL', 'TEXTBOOK']",0,1,0,0,Semantic Knowledge
535,RHYMING COMPOUND WORDS,"['BACKPACK', 'BIGWIG', 'DOWNTOWN', 'RAGTAG']",0,0,0,0,Linguistic Knowledge
536,CELL PHONE MODES,"['FOCUS', 'RING', 'SILENT', 'VIBRATE']",0,1,0,0,Associative Knowledge
537,IMPEL,"['DRIVE', 'INSPIRE', 'MOTIVATE', 'SPUR']",0,1,0,0,Semantic Knowledge
538,ROMANTIC BEGINNINGS,"['CONNECTION', 'FEELINGS', 'SPARK', 'VIBE']",0,0,0,0,Associative Knowledge
539,HARD ___,"['CANDY', 'COPY', 'KNOCKS', 'SELTZER']",0,1,0,0,Multiword Expressions
540,RELAX,"['CHILL', 'HANG', 'LOAF', 'LOUNGE']",0,1,1,0,Semantic Knowledge
541,CATCHY SONG,"['BANGER', 'BOP', 'GROOVE', 'JAM']",0,0,0,0,Associative Knowledge
542,BRITISH CUISINE,"['MASH', 'ROAST', 'SCONE', 'TRIFLE']",0,0,0,0,Semantic Knowledge
543,STICKY SITUATION,"['BIND', 'PICKLE', 'SCRAPE', 'SPOT']",0,0,0,0,Semantic Knowledge
544,TABLEWARE,"['BOWL', 'DISH', 'PLATE', 'SAUCER']",0,0,0,0,Semantic Knowledge
545,NONSENSE,"['BALONEY', 'BUNK', 'CROCK', 'TRIPE']",0,0,0,0,Semantic Knowledge
546,BRA PARTS,"['CUP', 'HOOK', 'STRAP', 'WIRE']",0,0,0,0,Semantic Knowledge
547,ACRONYMS,"['LASER', 'RADAR', 'SCUBA', 'SPAM']",0,0,1,0,Encyclopedic Knowledge
548,ANIMAL HOMES,"['DEN', 'HIVE', 'LAIR', 'NEST']",0,0,0,0,Semantic Knowledge
549,VIRTUAL SPACES,"['CLOUD', 'METAVERSE', 'NET', 'WEB']",0,1,1,1,Encyclopedic Knowledge
550,EQUITABLE,"['EQUAL', 'EVEN', 'FAIR', 'JUST']",0,0,0,0,Semantic Knowledge
551,___ BURGER,"['GOOD', 'IMPOSSIBLE', 'NOTHING', 'WARREN']",0,0,0,0,Multiword Expressions
552,FALSIFY,"['FABRICATE', 'FAKE', 'FIX', 'FORGE']",0,0,0,0,Semantic Knowledge
553,MILD OATHS,"['FIDDLESTICKS', 'FIE', 'FRICK', 'FUDGE']",0,0,0,0,Encyclopedic Knowledge
554,TV SHOWS,"['FARGO', 'FIREFLY', 'FLEABAG', 'FLIPPER']",0,0,0,0,Encyclopedic Knowledge
555,FAST ___,"['FASHION', 'FOOD', 'FORWARD', 'FRIENDS']",0,0,0,0,Multiword Expressions
556,SOMETHING TIRESOME,"['BORE', 'DRAG', 'SNOOZE', 'YAWN']",0,1,0,0,Semantic Knowledge
557,BIT OF WIND,"['BREEZE', 'DRAFT', 'GUST', 'PUFF']",0,0,1,0,Semantic Knowledge
558,PIQUANCY,"['BITE', 'KICK', 'TANG', 'ZIP']",0,0,0,0,Semantic Knowledge
559,SINGULAR OF THINGS SEEN IN PAIRS,"['BOXER', 'GOGGLE', 'PANT', 'TONG']",0,0,0,0,Associative Knowledge
560,TAUNTS,"['BOO', 'HISS', 'JEER', 'RASPBERRY']",0,0,1,0,Associative Knowledge
561,FAILURE,"['BOMB', 'DUD', 'FLOP', 'LEMON']",0,0,1,0,Associative Knowledge
562,RUDELY BREAK OFF CONTACT,"['DESERT', 'GHOST', 'IGNORE', 'JILT']",0,0,0,0,Associative Knowledge
563,ROCK ___,"['BOTTOM', 'CANDY', 'GARDEN', 'STAR']",0,0,0,0,Multiword Expressions
564,DAYS OF THE WEEK,"['FRIDAY', 'SATURDAY', 'SUNDAY', 'THURSDAY']",0,0,0,0,Semantic Knowledge
565,GO BAD,"['ROT', 'SOUR', 'SPOIL', 'TURN']",0,1,0,0,Semantic Knowledge
566,“THE ADDAMS FAMILY” CHARACTERS,"['FESTER', 'LURCH', 'THING', 'WEDNESDAY']",0,0,1,0,Encyclopedic Knowledge
567,FAT ___,"['CAT', 'CHANCE', 'LIP', 'TUESDAY']",0,0,0,0,Multiword Expressions
568,TOOLS,"['FILE', 'HAMMER', 'LEVEL', 'SAW']",0,0,0,0,Semantic Knowledge
569,PULL,"['JERK', 'TUG', 'WRENCH', 'YANK']",1,0,0,0,Semantic Knowledge
570,SHORTCUT COMMANDS,"['COPY', 'FIND', 'PRINT', 'SAVE']",0,0,0,0,Associative Knowledge
571,TITLE MOVIE ANIMALS,"['BABE', 'BEETHOVEN', 'CHARLOTTE', 'WILLY']",0,1,1,0,Encyclopedic Knowledge
572,BUTT,"['BOTTOM', 'BUNS', 'SEAT', 'TAIL']",0,0,0,0,Associative Knowledge
573,ROTARY PHONE PARTS,"['CORD', 'CRADLE', 'DIAL', 'HANDSET']",0,1,0,0,Semantic Knowledge
574,SLANG FOR HOME,"['CRIB', 'DIGS', 'JOINT', 'PAD']",0,0,0,0,Encyclopedic Knowledge
575,PLUNDER,"['BOOTY', 'LOOT', 'SPOILS', 'SWAG']",1,0,1,0,Semantic Knowledge
576,BEANS,"['FAVA', 'KIDNEY', 'LIMA', 'PINTO']",0,1,1,1,Semantic Knowledge
577,CITIES BEGINNING WITH “L”,"['LAGOS', 'LIMERICK', 'LINCOLN', 'LUXOR']",0,0,0,0,Encyclopedic Knowledge
578,POETRY TERMS,"['LINE', 'METER', 'RHYME', 'VERSE']",0,1,0,0,Associative Knowledge
579,“THE(E) ___” RAPPERS,"['CREATOR', 'DUDE', 'RAPPER', 'STALLION']",0,0,0,0,Encyclopedic Knowledge
580,CONCEAL,"['BLOCK', 'COVER', 'HIDE', 'MASK']",1,0,1,0,Semantic Knowledge
581,PARTS OF A WATCH,"['CROWN', 'DIAL', 'HAND', 'STRAP']",0,0,0,0,Semantic Knowledge
582,WONDER WOMAN’S COSTUME,"['LASSO', 'SHIELD', 'SWORD', 'TIARA']",0,0,0,0,Encyclopedic Knowledge
583,THINGS THAT CAN RUN,"['CANDIDATE', 'FAUCET', 'MASCARA', 'NOSE']",0,0,0,0,Associative Knowledge
584,FILM SET DIRECTIVES,"['ACTION', 'CAMERA', 'CUT', 'LIGHTS']",0,1,1,1,Associative Knowledge
585,CONDITIONAL WORDS,"['CAN', 'COULD', 'MAY', 'MIGHT']",0,0,1,1,Linguistic Knowledge
586,FOREMOST,"['HEAD', 'LEAD', 'PRIME', 'TOP']",0,0,0,1,Semantic Knowledge
587,___ PAPER,"['BUTCHER', 'SCRAP', 'TOILET', 'WAX']",0,1,0,0,Multiword Expressions
588,ORIGIN,"['GENESIS', 'GERM', 'SEED', 'SOURCE']",0,0,0,0,Semantic Knowledge
589,BIBLE BOOKS,"['ACTS', 'JOB', 'KINGS', 'MARK']",0,0,0,0,Encyclopedic Knowledge
590,N.H.L. TEAMS,"['FLAMES', 'KRAKEN', 'STARS', 'WILD']",0,0,0,0,Encyclopedic Knowledge
591,POWER ___,"['NAP', 'PLANT', 'RANGER', 'TRIP']",0,0,0,0,Multiword Expressions
592,CROPS,"['CORN', 'CUCUMBER', 'PEPPER', 'TOMATO']",0,0,0,0,Semantic Knowledge
593,SLANG FOR HEAD,"['CROWN', 'DOME', 'MELON', 'NOODLE']",0,0,0,0,Encyclopedic Knowledge
594,SONG,"['CUT', 'NUMBER', 'SINGLE', 'TRACK']",0,0,0,0,Associative Knowledge
595,THINGS THAT WHISTLE,"['BIRD', 'KETTLE', 'REFEREE', 'TRAIN']",0,0,0,0,Associative Knowledge
596,CELEBRATORY OCCASIONS,"['ANNIVERSARY', 'BIRTHDAY', 'SHOWER', 'WEDDING']",1,0,0,0,Associative Knowledge
597,PHONE CONNECTIVITY,"['BARS', 'RECEPTION', 'SERVICE', 'SIGNAL']",0,0,0,0,Associative Knowledge
598,CITIES AND TOWNS IN ENGLAND,"['BATH', 'DERBY', 'READING', 'SANDWICH']",0,0,0,0,Encyclopedic Knowledge
599,___ OPERA,"['COMIC', 'MET', 'ROCK', 'SOAP']",0,0,0,0,Multiword Expressions
600,RHYMES,"['DARREN', 'KAREN', 'SHARON', 'AARON']",0,0,0,0,Linguistic Knowledge
601,NATURAL FEATURES,"['DALE', 'BROOK', 'SAVANNA', 'CLIFF']",1,0,1,1,Associative Knowledge
602,PAST TENSE VERBS,"['DREW', 'ROSE', 'WILL', 'MAY']",0,0,0,0,Linguistic Knowledge
603,PALINDROMES,"['EVE', 'HANNAH', 'OTTO', 'NATAN']",0,0,1,0,Linguistic Knowledge
604,"LAUGHTER, IN A TEXT","['DEAD', 'HAHA', 'LOL', 'ROFL']",1,1,0,0,Encyclopedic Knowledge
605,ART MOVEMENTS,"['DADA', 'DECO', 'GOTHIC', 'POP']",0,1,1,1,Encyclopedic Knowledge
606,“PETER PAN” CHARACTERS,"['HOOK', 'NANA', 'PETER', 'WENDY']",0,0,1,0,Encyclopedic Knowledge
607,LADY ___,"['BIRD', 'GAGA', 'LUCK', 'MACBETH']",0,0,0,0,Multiword Expressions
608,DIVISION,"['ARM', 'BRANCH', 'CHAPTER', 'WING']",0,0,0,0,Semantic Knowledge
609,IMPERIAL UNITS,"['BUSHEL', 'PECK', 'STONE', 'TON']",0,1,1,0,Semantic Knowledge
610,M.L.B. TEAM MEMBER,"['ANGEL', 'CUB', 'MET', 'RED']",0,0,0,0,Encyclopedic Knowledge
611,INSECT HOMOPHONES,"['AUNT', 'BEATLE', 'FLEE', 'NAT']",0,0,0,0,Linguistic Knowledge
612,CHRISTMAS-RELATED,"['MISTLETOE', 'REINDEER', 'SNOWMAN', 'STOCKING']",0,1,0,0,Associative Knowledge
613,MAKE PUBLIC,"['DISPLAY', 'EXHIBIT', 'PRESENT', 'SHOW']",1,1,1,1,Semantic Knowledge
614,TORUS-SHAPED FOOD,"['BAGEL', 'CHEERIO', 'DONUT', 'LIFESAVER']",0,1,1,0,Associative Knowledge
615,THINGS WITH STRIPES,"['CANDY CANE', 'CROSSWALK', 'REFEREE', 'TIGER']",0,0,0,0,Associative Knowledge
616,LONG-HAIRED ANIMALS,"['AFGHAN', 'ALPACA', 'ANGORA', 'YAK']",0,0,0,0,Encyclopedic Knowledge
617,PRATTLE ON,"['BLATHER', 'CHAT', 'JABBER', 'GAB']",0,0,1,0,Semantic Knowledge
618,SNEAKER BRANDS,"['CONVERSE', 'JORDAN', 'PUMA', 'VANS']",0,1,1,1,Encyclopedic Knowledge
619,___ BALLOON,"['LEAD', 'SPEECH', 'TRIAL', 'WATER']",0,0,0,0,Multiword Expressions
620,WAYS TO SHOW RESPECT,"['BOW', 'KNEEL', 'SALUTE', 'STAND']",0,0,0,0,Associative Knowledge
621,IPHONE APPS,"['CLOCK', 'MAIL', 'MAPS', 'NOTES']",0,0,0,0,Encyclopedic Knowledge
622,ANIMAL COVERINGS,"['DOWN', 'FUR', 'SCALES', 'SHELL']",0,0,1,0,Associative Knowledge
623,“POINTERS”,"['ARROW', 'DOG', 'FINGER', 'HINT']",0,0,0,0,Associative Knowledge
624,COFFEE COUNTER ITEMS,"['CUP', 'LID', 'STIRRER', 'STRAW']",0,0,0,0,Encyclopedic Knowledge
625,NOCTURNAL ANIMALS,"['BAT', 'MOTH', 'OWL', 'WOLF']",0,0,0,0,"Semantic Knowledge "
626,THINGS THAT ARE RED,"['BEET', 'BRICK', 'CARDINAL', 'POPPY']",0,0,0,0,Associative Knowledge
627,___ FIGURE,"['ACTION', 'BALLPARK', 'GO', 'STICK']",0,0,0,0,Multiword Expressions
628,PLAYING CARD SUITS,"['CLUB', 'DIAMOND', 'HEART', 'SPADE']",0,1,1,0,Semantic Knowledge
629,GOLF CLUBS,"['IRON', 'PUTTER', 'WEDGE', 'WOOD']",0,1,0,1,Associative Knowledge
630,YEARN,"['ACHE', 'LONG', 'PINE', 'THIRST']",0,0,0,0,Semantic Knowledge
631,INSUFFICIENT,"['LOW', 'SHORT', 'SHY', 'WANTING']",0,0,0,0,Semantic Knowledge
632,VERY IMPORTANT,"['CENTRAL', 'CRITICAL', 'KEY', 'VITAL']",0,0,1,0,Semantic Knowledge
633,RECYCLNG CATEGORIES,"['GLASS', 'METAL', 'PAPER', 'PLASTIC']",0,0,0,0,Associative Knowledge
634,HUDSONS,"['HENRY', 'JENNIFER', 'KATE', 'ROCK']",0,0,0,0,Encyclopedic Knowledge
635,WHAT “BEAT” MAY MEAN,"['ASSIGNMENT', 'DEFEAT', 'TEMPO', 'TIRED']",0,0,0,0,Linguistic Knowledge
636,REFLECT LIGHT,"['FLASH', 'GLEAM', 'GLITTER', 'SPARKLE']",1,1,1,1,Semantic Knowledge
637,WAYS TO GATHER FOOD,"['FISH', 'FORAGE', 'HUNT', 'TRAP']",0,1,0,0,Associative Knowledge
638,RAP SUBGENRES,"['BOUNCE', 'CRUNK', 'DRILL', 'GRIME']",0,0,0,0,Encyclopedic Knowledge
639,LIGHT ___,"['BEER', 'BULB', 'RAIL', 'YEAR']",0,0,0,0,Multiword Expressions
640,PRODUCED BY TREES,"['ACORN', 'CONE', 'POLLEN', 'SAP']",1,0,0,0,Associative Knowledge
641,CANDY STORE TREATS,"['CHOCOLATE', 'GUM', 'LICORICE', 'LOLLIPOP']",1,0,1,0,Semantic Knowledge
642,TARGET OF A SCHEME,"['CHUMP', 'FOOL', 'MARK', 'SUCKER']",0,0,0,0,Semantic Knowledge
643,THINGS WITH EYE(S),"['FACE', 'HURRICANE', 'NEEDLE', 'POTATO']",0,0,0,0,Associative Knowledge
644,SNAKES,"['BOA', 'MAMBA', 'PYTHON', 'VIPER']",1,1,1,1,Semantic Knowledge
645,LINGERIE,"['GARTER', 'SLIP', 'TEDDY', 'THONG']",0,0,1,0,Semantic Knowledge
646,SUMMARY,"['ABSTRACT', 'BRIEF', 'DIGEST', 'RUNDOWN']",1,0,0,0,Semantic Knowledge
647,FULL ___,"['CIRCLE', 'HOUSE', 'MONTY', 'MOON']",0,0,0,0,Multiword Expressions
648,BRIDAL ACCESSORIES,"['BOUQUET', 'RING', 'TRAIN', 'VEIL']",0,0,0,0,Associative Knowledge
649,“C” WORDS FOR “ENVELOP”,"['CAKE', 'COAT', 'COVER', 'CRUST']",0,0,0,0,Semantic Knowledge
650,JACKS,"['BLACK', 'FROST', 'MA', 'SPARROW']",0,0,0,0,Encyclopedic Knowledge
651,SOCIAL MEDIA APP ENDINGS,"['BOOK', 'GRAM', 'IN', 'TUBE']",0,0,0,0,Combined Category
652,KITCHEN UTENSILS,"['GRATER', 'LADLE', 'PEELER', 'WHISK']",1,1,0,0,Semantic Knowledge
653,VERTEBRATES,"['BIRD', 'FISH', 'MAMMAL', 'REPTILE']",0,0,0,0,Semantic Knowledge
654,SUPER MARIO-RELATED,"['DINOSAUR', 'MUSHROOM', 'PLUMBER', 'PRINCESS']",0,0,0,0,Encyclopedic Knowledge
655,SITCOM FAMILIES,"['BUNKER', 'CLEAVER', 'PARTRIDGE', 'TANNER']",0,0,0,0,Encyclopedic Knowledge
656,ROBUST,"['FIT', 'HEALTHY', 'SOUND', 'STRONG']",0,1,0,0,Semantic Knowledge
657,DECLINE,"['DIP', 'DROP', 'FALL', 'SINK']",0,0,0,0,Semantic Knowledge
658,WATER SOURCES,"['FOUNTAIN', 'SPRING', 'TAP', 'WELL']",0,1,0,0,Associative Knowledge
659,WOMEN SINGERS,"['KEYS', 'NICKS', 'SUMMER', 'SWIFT']",0,0,0,0,Encyclopedic Knowledge
660,SODA FOUNTAIN ORDERS,"['FLOAT', 'MALT', 'SHAKE', 'SUNDAE']",0,0,0,0,Associative Knowledge
661,"SET, AS PLANS","['CONCRETE', 'FIRM', 'SOLID', 'TANGIBLE']",0,0,0,1,Semantic Knowledge
662,M. NIGHT SHYAMALAN MOVIES,"['GLASS', 'OLD', 'SIGNS', 'SPLIT']",0,0,0,0,Encyclopedic Knowledge
663,___BOARD,"['DASH', 'HOVER', 'KEY', 'STAR']",0,0,0,0,Multiword Expressions
664,RESTAURANT WORKERS,"['BARTENDER', 'CHEF', 'HOST', 'SERVER']",1,1,0,1,Semantic Knowledge
665,MOTOR VEHICLES,"['BUS', 'CAR', 'MOTORCYCLE', 'TRUCK']",1,0,1,0,Semantic Knowledge
666,MUPPETS,"['ANIMAL', 'BEAKER', 'GONZO', 'SCOOTER']",0,0,0,0,Encyclopedic Knowledge
667,HAND- AND FOOT-RELATED SLANG,"['DIGIT', 'DOG', 'MITT', 'PIGGY']",0,0,0,0,Encyclopedic Knowledge
